season,episode,code,title,violence,sex,language,overall,verdict,example_1
9,2,0902,2. Coming Back,3,4,4,4,Strong — skip for little kids,"Sex & hookups — The day they got married, they lifted the curse forever, freeing me from the shackles of having sex with lo…"
9,3,0903,3. Last Time in New York,3,3,3,3,Moderate — better for older kids / preteens,"Sex & hookups — Man, when was the last time you think they had sex? Probably not since the Maple Leafs won the cup."
9,4,0904,4. The Broken Code,2,1,4,4,Strong — skip for little kids,Nudity & bodies — And the queens are naked.
9,5,0905,5. The Poker Game,1,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I'm gonna tell you what I told frampton's guitar tech When he couldn't find a condom: Let's gamble.
9,6,0906,6. Knight Vision,3,4,4,4,Strong — skip for little kids,"Sex & hookups — I needed help hooking up my stereo, So I walked down the hall, and I just knew I should knock on this one d…"
9,7,0907,7. No Questions Asked,3,4,3,4,Strong — skip for little kids,Sex & hookups — Others say Dearduff the Hooker was just a popular male prostitute who murdered no one and died of syphilis…
9,8,0908,8. The Lighthouse,3,1,4,4,Strong — skip for little kids,Swearing — (inhales deeply) (exhales) Son of a bitch!
9,9,0909,9. Platonish,2,3,2,3,Moderate — better for older kids / preteens,Sex & hookups — Symposium: two people are only platonic if in the next 20 minutes there is no chance of them hooking up.
9,10,0910,10. Mom and Dad,3,1,4,4,Strong — skip for little kids,"Swearing — "" Mm, Detective Mosby is the case-crackingest private dick on the scene."
9,11,0911,11. Bedtime Stories,1,1,3,3,Moderate — better for older kids / preteens,"Swearing — And on my long-ass subway ride from 61st and Woodside, I came up with a plan to keep you each other's good…"
9,12,0912,12. The Rehearsal Dinner,1,4,3,4,Strong — skip for little kids,Sex & hookups — Inflatable sex toy life raft.
9,13,0913,13. Bass Player Wanted,3,3,3,3,Moderate — better for older kids / preteens,Sex & hookups — I have not! You have been sleeping with a doll made of cushions that you named after him.
9,14,0914,14. Slapsgiving 3: Slappointment in Slapmarra,3,1,1,3,Moderate — better for older kids / preteens,"Swearing — (""O Fortuna"" playing) (Barney gasps) (yelling) Damn it! Please! Somebody! Help me! There's a crazy guy tryi…"
9,15,0915,15. Unpause,2,4,3,4,Strong — skip for little kids,"Sex & hookups — Figuring, on average, two meals out a week plus 20% tip Do you know how much money you cost me? What am I?…"
9,16,0916,16. How Your Mother Met Me,2,4,3,4,Strong — skip for little kids,Sex & hookups — I haven't been kissed in a really long time.
9,17,0917,17. Sunrise,2,4,2,4,Strong — skip for little kids,Sex & hookups — And my condom expired.
9,18,0918,18. Rally,2,1,4,4,Strong — skip for little kids,Sex & hookups — Lily Aldrin? Let's make out.
9,19,0919,19. Vesuvius,2,4,3,4,Strong — skip for little kids,Porn / strippers — Like the one where my college roommates and I went to this male strip club And your friend Dongnose got sma…
9,20,0920,20. Daisy,3,3,2,3,Moderate — better for older kids / preteens,"Nudity & bodies — Oh, they are both naked."
9,21,0921,21. Gary Blauman,2,2,2,2,Mild — okay for many kids with a parent,Sex & hookups — When he was Assistant Secretary of the Navy Will you just pick one of us already so I can either have sex o…
9,22,0922,22. The End of the Aisle,3,1,4,4,Strong — skip for little kids,"Swearing — We're Marshmallow and Lilypad, bitch."
9,23,0923,23. Last Forever (1),2,4,4,4,Strong — skip for little kids,Sex & hookups — There's only one way I'd let either of you have sex with her.
9,24,0924,24. Last Forever (2),2,4,4,4,Strong — skip for little kids,Sex & hookups — There's only one way I'd let either of you have sex with her.
